people_id,person_hash,party,role,name,first_name,middle_name,last_name,suffix,district,votesmart_id,ballotpedia
11020,nfldzz39,R,Sen,Brian Birdwell,Brian,,Birdwell,,SD-022,127373,Brian_Birdwell
11346,nsjwxgsk,R,Rep,J.M. Lozano,J. M.,,Lozano,,HD-043,116981,J.M._Lozano
11349,7c5gliqg,D,Rep,Sergio Munoz,Sergio,,Munoz,Jr.,HD-036,5424,Sergio_Munoz_Jr.
11598,75f108sm,D,Rep,Ron Reynolds,Ron,,Reynolds,,HD-027,102294,Ron_Reynolds
11599,z0ysoqei,D,Sen,Borris Miles,Borris,L.,Miles,,SD-013,59415,Borris_Miles
14046,5vzn8qv7,D,Rep,Senfronia Thompson,Senfronia,,Thompson,,HD-141,8012,Senfronia_Thompson
14047,kgy62nd4,R,Rep,Jeff Leach,Jeff,,Leach,,HD-067,138355,Jeff_Leach
14236,j3bo9win,D,Rep,Terry Canales,Terry,,Canales,,HD-040,137743,Terry_Canales
14568,tgvdeyyu,D,Rep,Philip Cortez,Philip,,Cortez,,HD-117,78684,Philip_Cortez
14783,5j3s21zu,R,Rep,Cecil Bell,Cecil,,Bell,Jr.,HD-003,138308,Cecil_Bell_Jr.
14784,aso06k9x,R,Rep,Greg Bonnen,Greg,,Bonnen,,HD-024,138328,Greg_Bonnen
14785,iyfa0ip0,R,Rep,Giovanni Capriglione,Giovanni,,Capriglione,,HD-098,117464,Giovanni_Capriglione
14786,nq7vkiof,D,Rep,Robert Guerra,Robert,D.,Guerra,,HD-041,137747,Robert_Guerra
14990,1taduoiz,D,Rep,Mary Gonzalez,Mary,E.,Gonzalez,,HD-075,137767,Mary_Gonzalez
15077,t4n84fny,R,Sen,Donna Campbell,Donna,,Campbell,,SD-025,116916,Donna_Campbell
15351,khe3xb01,R,Rep,Trent Ashby,Trent,,Ashby,,HD-009,138345,Trent_Ashby
15352,56ag5h6s,D,Rep,Nicole Collier,Nicole,,Collier,,HD-095,137771,Nicole_Collier
15409,tcapdway,R,Rep,Steve Toth,Steve,,Toth,,HD-015,138323,Steve_Toth
15425,du3yqz3x,R,Rep,Ken King,Ken,,King,,HD-088,138367,Ken_King
15628,klsxhuau,D,Rep,Oscar Longoria,Oscar,,Longoria,,HD-035,137738,Oscar_Longoria
15629,75xrjyte,D,Rep,Mary Perez,Mary Ann,,Perez,,HD-144,137802,Mary_Ann_Perez
15631,43v8w9s8,D,Rep,Eugene Wu,Eugene,,Wu,,HD-137,137800,Gene_Wu
15686,shhaup8d,R,Rep,James Frank,James,,Frank,,HD-069,138361,James_Frank
16267,srskegml,R,Sen,Paul Bettencourt,Paul,D.,Bettencourt,,SD-007,147736,Paul_Bettencourt
16346,zfj697xu,R,Rep,William Metcalf,William,,Metcalf,,HD-016,147605,Will_Metcalf
16526,sn871gro,R,Rep,Brooks Landgraf,Brooks,,Landgraf,,HD-081,147660,Brooks_Landgraf
16834,rpru6dum,D,Sen,Cesar Blanco,Cesar,,Blanco,,SD-029,147274,Cesar_Blanco
16836,vga48o2c,R,Rep,Dustin Burrows,Dustin,,Burrows,,HD-083,155511,Dustin_Burrows
16840,4nwdsw4c,R,Rep,Morgan Meyer,Morgan,,Meyer,,HD-108,147697,Morgan_Meyer
16842,zgvtnfzf,R,Rep,Dennis Paul,Dennis,R.,Paul,,HD-129,147704,Dennis_Paul
16843,w7o0qkmv,R,Rep,Dade Phelan,Dade,,Phelan,,HD-021,147610,Dade_Phelan
16845,t40hbbnj,D,Rep,Ramon Romero,Ramon,,Romero,Jr.,HD-090,147669,Ramon_Romero_Jr.
16846,t0d0ohb3,R,Rep,Mike Schofield,Michael,,Schofield,,HD-132,59363,Mike_Schofield
16847,6m1245b8,R,Rep,Matthew Shaheen,Matthew,F.,Shaheen,,HD-066,115952,Matt_Shaheen
16848,de50h3az,R,Rep,Gary Vandeaver,Gary,,Vandeaver,,HD-001,147586,Gary_VanDeaver
16851,6maexbz8,R,Rep,Tony Tinderholt,Tony,,Tinderholt,,HD-094,147676,Tony_Tinderholt
17365,bb3jcymj,R,Sen,Bob Hall,Bob,,Hall,,SD-002,147733,Bob_Hall_(Texas)
17574,pjrwttje,D,Rep,Toni Rose,Toni,,Rose,,HD-110,137784,Toni_Rose
17576,hcw6vdk3,D,Rep,Chris Turner,Chris,,Turner,,HD-101,102270,Chris_Turner_(Texas)
17631,2eid1g84,D,Rep,Diego Bernal,Diego,,Bernal,,HD-123,131548,Diego_Bernal
17984,uea4tasd,R,Rep,Tom Oliverson,Tom,,Oliverson,,HD-130,166520,Tom_Oliverson
18029,1qwk6gwj,D,Rep,Barbara Gervin-Hawkins,Barbara,,Gervin-Hawkins,,HD-120,166512,Barbara_Gervin-Hawkins
18672,6k8ie1ap,R,Rep,Jay Dean,Jay,,Dean,,HD-007,79331,Jay_Dean
